Received_data:aa55230000045dfc615c; usetime/send:216.99976921081543 ms
Received_data:aa55230000045dfc615c; usetime/send:219.9997901916504 ms
Received_data:aa55230000045dfc615c; usetime/send:237.99967765808105 ms
Received_data:aa55230000045dfc615c; usetime/send:240.99993705749512 ms
Received_data:aa55230000045dfc615c; usetime/send:246.99997901916504 ms
Received_data:aa55230000045dfc615c; usetime/send:250.99992752075195 ms
Received_data:aa55230000045dfc615c; usetime/send:259.0000629425049 ms
Received_data:aa55230000045dfc615c; usetime/send:263.99993896484375 ms
Received_data:aa55230000045dfc615c; usetime/send:267.99988746643066 ms
Received_data:aa55230000045dfc615c; usetime/send:274.99985694885254 ms
Received_data:aa55230000045dfc615c; usetime/send:284.0001583099365 ms
Received_data:aa55230000045dfc615c; usetime/send:289.99972343444824 ms
Received_data:aa55230000045dfc615c; usetime/send:300.99987983703613 ms
Received_data:aa55230000045dfc615c; usetime/send:312.000036239624 ms
Received_data:aa55230000045dfc615c; usetime/send:315.000057220459 ms
Received_data:aa55230000045dfc615c; usetime/send:328.99975776672363 ms
Received_data:aa55230000045dfc615c; usetime/send:331.00008964538574 ms
Received_data:aa55230000045dfc615c; usetime/send:339.9999141693115 ms
Received_data:aa55230000045dfc615c; usetime/send:339.9999141693115 ms
Received_data:aa55230000045dfc615c; usetime/send:358.99996757507324 ms
Received_data:aa55230000045dfc615c; usetime/send:359.9998950958252 ms
Received_data:aa55230000045dfc615c; usetime/send:373.99983406066895 ms
Received_data:aa55230000045dfc615c; usetime/send:374.9997615814209 ms
Received_data:aa55230000045dfc615c; usetime/send:384.99999046325684 ms
Received_data:aa55230000045dfc615c; usetime/send:384.99999046325684 ms
Received_data:aa55230000045dfc615c; usetime/send:395.9999084472656 ms
Received_data:aa55230000045dfc615c; usetime/send:403.0001163482666 ms
Received_data:aa55230000045dfc615c; usetime/send:424.0000247955322 ms
Received_data:aa55230000045dfc615c; usetime/send:424.0000247955322 ms
Received_data:aa55230000045dfc615c; usetime/send:440.99998474121094 ms
Received_data:aa55230000045dfc615c; usetime/send:444.99993324279785 ms
Received_data:aa55230000045dfc615c; usetime/send:452.9998302459717 ms
Received_data:aa55230000045dfc615c; usetime/send:456.9997787475586 ms
Received_data:aa55230000045dfc615c; usetime/send:479.0000915527344 ms
Received_data:aa55230000045dfc615c; usetime/send:481.99987411499023 ms
Received_data:aa55230000045dfc615c; usetime/send:484.9998950958252 ms
Received_data:aa55230000045dfc615c; usetime/send:487.99991607666016 ms
Received_data:aa55230000045dfc615c; usetime/send:491.99986457824707 ms
Received_data:aa55230000045dfc615c; usetime/send:497.00021743774414 ms
Received_data:aa55230000045dfc615c; usetime/send:506.9999694824219 ms
Received_data:aa55230000045dfc615c; usetime/send:516.9999599456787 ms
Received_data:aa55230000045dfc615c; usetime/send:522.0000743865967 ms
